MLA Name,Age,Constituency,Gender ,Party,Membership,Education,Start of term,End of Term,Attendance,Attendance -State average,No. of Questions Asked,Question -State Average,Number Of Debates,Debate State Average,Note,Term,State,Image
Paidi Rakesh Reddy,56,Armur,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Paidi Rakesh Reddy.jpg
P. Sudarshan Reddy,73,Bodhan,Male,Indian National Congress,Elected,Inter/ Higher Secondary,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,P. Sudarshan Reddy.jpg
Laxmi Kantha Rao Thota,53,Jukkal,Male,Indian National Congress,Elected,Post Graduate,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Laxmi Kantha Rao Thota.jpg
Srinivas Reddy Parige (Pocharam),74,Banswada,Male,Bharat Rashtra Samithi,Elected,Inter/ Higher Secondary,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Srinivas Reddy Parige (Pocharam).jpg
Madan Mohan Rao. K,54,Yellareddy,Male,Indian National Congress,Elected,Professional Post Graduate,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Madan Mohan Rao. K.jpg
Katipally Venkata Ramana Reddy,53,Kamareddy,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Katipally Venkata Ramana Reddy.jpg
Dhanpal Suryanarayana,65,Nizamabad (Urban),Male,Bharatiya Janata Party,Elected,Graduate,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Dhanpal Suryanarayana.jpg
Bhoopathi Reddy Rekulapally,59,Nizamabad (Rural),Male,Indian National Congress,Elected,Professional Post Graduate,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Bhoopathi Reddy Rekulapally.jpg
Prashanth Reddy Vemula,57,Balkonda,Male,Bharat Rashtra Samithi,Elected,Professional Graduate,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Prashanth Reddy Vemula.jpg
Kalvakuntla Sanjay,47,Koratla,Male,Bharat Rashtra Samithi,Elected,Professional Post Graduate,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Kalvakuntla Sanjay.jpg
Sanjay Kumar M.,61,Jagtial,Male,Bharat Rashtra Samithi,Elected,Professional Post Graduate,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Dr. Sanjay.jpg
Adluri Laxman Kumar,57,Dharmapuri,Male,Indian National Congress,Elected,Inter/ Higher Secondary,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Adluri Laxman Kumar.jpg
Makkan Singh Raj Thakur,52,Ramagundam,Male,Indian National Congress,Elected,Inter/ Higher Secondary,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Makkan Singh Raj Thakur.jpg
Duddilla Sridhar Babu,54,Manthani,Male,Indian National Congress,Elected,Post Graduate,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Duddilla Sridhar Babu.jpg
Chinthakunta Vijaya Ramana Rao,57,Peddapalle,Male,Indian National Congress,Elected,Inter/ Higher Secondary,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Chinthakunta Vijaya Ramana Rao.jpg
Gangula Kamalakar,56,Karimnagar,Male,Bharat Rashtra Samithi,Elected,Professional Graduate,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Gangula Kamalakar.jpg
Medipally Sathyam,43,Choppadandi,Male,Indian National Congress,Elected,Professional Post Graduate,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Medipally Sathyam.jpg
Aadi Srinivas,57,Vemulawada,Male,Indian National Congress,Elected,Inter/ Higher Secondary,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Aadi Srinivas.jpg
Kalvakuntla Taraka Rama Rao (K.T.R),47,Sircilla,Male,Bharat Rashtra Samithi,Elected,Professional Post Graduate,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Kalvakuntla Taraka Rama Rao (K.T.R).jpg
Kavvampally Satyanarayana,58,Manakondur,Male,Indian National Congress,Elected,Professional Post Graduate,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Dr. Kavvampally Satyanarayana.jpg
Kaushik Reddy Padi,38,Huzurabad,Male,Bharat Rashtra Samithi,Elected,Graduate,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Kaushik Reddy Padi.jpg
Ponnam Prabhakar,56,Husnabad,Male,Indian National Congress,Elected,Post Graduate,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Ponnam Prabhakar.jpg
Thanneeru Harish Rao,52,Siddipet,Male,Bharat Rashtra Samithi,Elected,Graduate,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Thanneeru Harish Rao.jpg
Mynampally Rohith,26,Medak,Male,Indian National Congress,Elected,Professional Graduate,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Mynampally Rohith.jpg
Patlolla Sanjeeva Reddy,61,Narayankhed,Male,Indian National Congress,Elected,Professional Graduate,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Patlolla Sanjeeva Reddy.jpg
C. Damodar Rajanarsimha,64,Andole,Male,Indian National Congress,Elected,Professional Graduate,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,C. Damodar Rajanarsimha.jpg
Vakiti Sunitha Laxma Reddy,55,Narsapur,Female,Bharat Rashtra Samithi,Elected,Professional Graduate,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Vakiti Sunitha Laxma Reddy.jpg
Koninty Manik Rao,68,Zahirabad,Male,Bharat Rashtra Samithi,Elected,Inter/ Higher Secondary,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Koninty Manik Rao.jpg
Chinta Prabhakar,63,Sangareddy,Male,Bharat Rashtra Samithi,Elected,Inter/ Higher Secondary,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Chinta Prabhakar.jpg
Gudem Mahipal Reddy,60,Patancheru,Male,Bharat Rashtra Samithi,Elected,Inter/ Higher Secondary,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Gudem Mahipal Reddy.jpg
Kotta Prabhakar Reddy,60,Dubbak,Male,Bharat Rashtra Samithi,Elected,Graduate,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Kotta Prabhakar Reddy.jpg
Kalvakuntla Chandrashekar Rao,69,Gajwel,Male,Bharat Rashtra Samithi,Elected,Graduate,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Kalvakuntla Chandrashekar Rao.jpg
Chamakura Malla Reddy,70,Medchal,Male,Bharat Rashtra Samithi,Elected,Inter/ Higher Secondary,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Chamakura Malla Reddy.jpg
Marri Rajashekar Reddy,54,Malkajgiri,Male,Bharat Rashtra Samithi,Elected,Inter/ Higher Secondary,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Marri Rajashekar Reddy.jpg
K.P. Vivekanand,46,Quthbullapur,Male,Bharat Rashtra Samithi,Elected,Professional Graduate,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,K.P. Vivekanand.jpg
Madhavaram Krishna Rao,57,Kukatpalle,Male,Bharat Rashtra Samithi,Elected,Inter/ Higher Secondary,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Madhavaram Krishna Rao.jpg
Bandari Lakshma Reddy,56,Uppal,Male,Bharat Rashtra Samithi,Elected,Inter/ Higher Secondary,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Bandari Lakshma Reddy.jpg
Malreddy Ranga Reddy,67,Ibrahimpatnam,Male,Indian National Congress,Elected,Post Graduate,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Malreddy Ranga Reddy.jpg
Devireddy Sudhir Reddy,61,Lal Bahadur Nagar,Male,Bharat Rashtra Samithi,Elected,Graduate,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Devireddy Sudhir Reddy.jpg
Patlolla Sabitha Indra Reddy,60,Maheswaram,Female,Bharat Rashtra Samithi,Elected,Inter/ Higher Secondary,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Patlolla Sabitha Indra Reddy.jpg
T. Prakash Goud,64,Rajendranagar,Male,Bharat Rashtra Samithi,Elected,Inter/ Higher Secondary,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,T. Prakash Goud.jpg
Arekapudi Gandhi,62,Serilingampally,Male,Bharat Rashtra Samithi,Elected,Inter/ Higher Secondary,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Arekapudi Gandhi.jpg
Kale Yadaiah,61,Chevella,Male,Bharat Rashtra Samithi,Elected,Inter/ Higher Secondary,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Kale Yadaiah.jpg
